date,score
2018-06-28T23:33:38.000Z,-0.669856
2018-06-28T23:35:55.000Z,-0.0728908
2018-06-28T23:32:14.000Z,-0.429343
2018-06-28T23:30:15.000Z,0
2018-06-28T23:55:44.000Z,-0.150321
2018-06-28T23:49:53.000Z,-0.383714
2018-06-28T23:29:06.000Z,0.556225
2018-06-28T23:47:28.000Z,0.567365
2018-06-28T23:39:39.000Z,0
2018-06-28T23:56:04.000Z,0.0931833
2018-06-28T23:22:37.000Z,-0.851904
2018-06-28T23:49:08.000Z,0
2018-06-28T23:34:32.000Z,-0.660059
2018-06-28T23:46:39.000Z,0
2018-06-27T23:50:08.000Z,-0.140141
2018-06-28T23:47:46.000Z,0
2018-06-27T23:44:30.000Z,-0.319257
2018-06-28T23:43:39.000Z,0.452984
2018-06-28T23:42:37.000Z,0.103149
2018-06-27T23:28:13.000Z,-0.293627
2018-06-26T23:38:59.000Z,-0.4601
2018-06-27T23:28:30.000Z,-0.345712
2018-06-28T23:29:12.000Z,-0.63422
2018-06-26T23:33:26.000Z,-0.734036
2018-06-24T23:33:58.000Z,0
2018-06-27T23:40:16.000Z,-0.655957
2018-06-27T23:30:01.000Z,0.620864
2018-06-24T23:52:38.000Z,-0.755888
2018-06-26T23:29:22.000Z,-0.704279
2018-06-24T23:56:25.000Z,-0.514306
2018-06-27T23:46:19.000Z,0.700466
2018-06-27T23:28:36.000Z,0
2018-06-25T23:56:05.000Z,-0.74611
2018-06-27T23:56:35.000Z,0
2018-06-24T23:47:51.000Z,-0.56725
2018-06-25T23:56:36.000Z,-0.75114
2018-06-27T23:36:35.000Z,-0.728553
2018-06-27T23:54:55.000Z,-0.71421
2018-06-27T23:27:28.000Z,-0.80864
2018-06-25T23:55:04.000Z,0.586782
2018-06-24T23:39:37.000Z,-0.362913
2018-06-24T23:59:20.000Z,0
2018-06-22T23:51:04.000Z,-0.587378
2018-06-27T23:40:21.000Z,-0.372236
2018-06-26T23:32:44.000Z,-0.383825
2018-06-22T23:44:56.000Z,-0.704462
2018-06-24T23:54:43.000Z,0
2018-06-26T23:33:37.000Z,0.0880149
2018-06-27T23:51:20.000Z,0.47992
2018-06-25T23:54:01.000Z,0.874795
2018-06-25T23:53:28.000Z,-0.440763
2018-06-24T23:34:51.000Z,0
2018-06-25T23:58:14.000Z,0.843171
2018-06-22T23:52:21.000Z,0
2018-06-28T23:28:43.000Z,-0.46406
2018-06-22T23:45:46.000Z,-0.644564
2018-06-26T23:30:44.000Z,0
2018-06-26T23:42:04.000Z,0
2018-06-25T23:51:46.000Z,-0.4601
2018-06-22T23:45:08.000Z,0.748528
2018-06-22T23:52:12.000Z,0.0167879
2018-06-26T23:24:49.000Z,0.441557
2018-06-28T23:19:21.000Z,0.464659
2018-06-27T23:19:31.000Z,-0.4601
2018-06-26T23:34:44.000Z,-0.601636
2018-06-24T23:52:34.000Z,0
2018-06-22T23:53:42.000Z,-0.520147
2018-06-22T23:55:29.000Z,-0.657886
2018-06-25T23:55:00.000Z,-0.400603
2018-06-24T23:35:28.000Z,0
2018-06-22T23:47:14.000Z,-0.856594
2018-06-26T23:40:42.000Z,-0.460203
2018-06-25T23:59:06.000Z,0
2018-06-22T23:52:49.000Z,0
2018-06-28T23:37:10.000Z,0
2018-06-24T23:51:22.000Z,0
2018-06-22T23:47:16.000Z,-0.498021
2018-06-25T23:55:32.000Z,0
2018-06-23T23:42:46.000Z,0
2018-06-23T23:39:51.000Z,0
2018-06-23T23:20:49.000Z,-0.510165
2018-06-23T23:53:42.000Z,0
2018-06-23T23:46:17.000Z,-0.566753
2018-06-23T23:28:08.000Z,-0.640924
2018-06-23T23:40:22.000Z,-0.593799
2018-06-23T23:44:26.000Z,-0.404798
2018-06-23T23:21:34.000Z,0
2018-06-23T23:24:06.000Z,0
2018-06-23T23:45:29.000Z,0.055876
2018-06-23T23:17:52.000Z,-0.814696
2018-06-23T23:44:44.000Z,0
2018-06-23T23:27:05.000Z,-0.422892
2018-06-23T23:26:44.000Z,0.946804
2018-06-23T23:30:19.000Z,0
2018-06-23T23:57:50.000Z,-0.371803
2018-06-23T23:38:30.000Z,0
2018-06-23T23:31:54.000Z,0
2018-06-23T23:34:34.000Z,-0.516018
2018-06-23T23:20:14.000Z,-0.334113
2018-06-23T23:21:12.000Z,-0.482849
2018-06-23T23:47:40.000Z,-0.344692
2018-06-26T23:46:16.000Z,0
2018-06-26T23:55:03.000Z,0
2018-06-26T23:46:46.000Z,0
2018-06-26T23:45:48.000Z,0
2018-06-26T23:54:53.000Z,0
2018-06-26T23:50:28.000Z,-0.605978
2018-06-26T23:52:46.000Z,0
2018-06-26T23:44:05.000Z,-0.489506
2018-06-26T23:55:06.000Z,-0.333575
2018-06-26T23:50:42.000Z,-0.303917
